MovieId,CastId,Character,ActorId,ActorName,Order
127585,3,Professor Charles Xavier (Future),2387,Patrick Stewart,0
127585,4,Professor Charles Xavier (Past),5530,James McAvoy,1
127585,5,Erik Lehnsherr / Magneto (Past),17288,Michael Fassbender,2
127585,6,Erik Lehnsherr / Magneto (Future),1327,Ian McKellen,3
127585,7,Raven / Mystique,72129,Jennifer Lawrence,4
127585,8,Hank McCoy / Beast,3292,Nicholas Hoult,5
127585,9,Logan / Wolverine,6968,Hugh Jackman,6
127585,11,Kitty Pryde / Shadowcat,27578,Ellen Page,8
127585,12,Iceman,11023,Shawn Ashmore,9
127585,13,Bolivar Trask,22970,Peter Dinklage,10
127585,14,Ororo Munroe / Storm,4587,Halle Berry,11
127585,15,James Proudstar / Warpath,121868,Booboo Stewart,12
127585,16,Clarice Ferguson / Blink,64439,Fan Bingbing,13
127585,17,Piotr Rasputin / Colossus,84222,Daniel Cudmore,14
127585,21,Roberto da Costa / Sunspot,1010189,Adan Canto,15
127585,22,Lucas Bishop,78423,Omar Sy,16
127585,23,Pietro Maximoff / Quicksilver,55089,Evan Peters,17
127585,24,Alex Summers / Havok,429,Lucas Till,18
127585,25,William Stryker,1056053,Josh Helman,19
127585,38,Toad,1284084,Evan Jonigkeit,20
127585,40,Jean Grey,10696,Famke Janssen,21
127585,41,Scott Summers / Cyclops,11006,James Marsden,22
127585,42,Rogue,10690,Anna Paquin,23
127585,43,President Richard Nixon,7013,Mark Camacho,24
127585,44,Hank McCoy / Beast (Older),7090,Kelsey Grammer,25
100402,1,Steve Rogers / Captain America,16828,Chris Evans,0
100402,8,Natasha Romanoff / Black Widow,1245,Scarlett Johansson,1
100402,2,Nick Fury,2231,Samuel L. Jackson,2
100402,3,James Buchanan 'Bucky' Barnes / The Winter Soldier,60898,Sebastian Stan,3
100402,4,Sam Wilson / Falcon,53650,Anthony Mackie,4
100402,7,Brock Rumlow / Crossbones,81685,Frank Grillo,5
100402,9,Maria Hill,71189,Cobie Smulders,6
100402,10,Arnim Zola,13014,Toby Jones,7
100402,11,Sharon Carter,84247,Emily VanCamp,8
100402,12,Peggy Carter,39459,Hayley Atwell,9
100402,14,Batroc the Leaper,74750,Georges St. Pierre,10
100402,15,Alexander Pierce,4135,Robert Redford,11
100402,18,Agent Jasper Sitwell,1018947,Maximiliano Hernández,12
100402,20,World Security Council member,52760,Alan Dale,13
100402,21,Security Guard,7624,Stan Lee,14
100402,22,Councilwoman Hawley,14464,Jenny Agutter,15
100402,23,Senator Stern,52865,Garry Shandling,16
100402,24,Com Tech #1,205179,Danny Pudi,17
100402,25,Councilman Yen,101015,Chin Han,18
100402,55,Councilman Singh,156739,Bernard White,19
100402,56,Scientist #1,60846,Pat Healy,20
188161,5,Albert,52139,Seth MacFarlane,0
188161,6,Anna,6885,Charlize Theron,1
188161,7,Clinch,3896,Liam Neeson,2
188161,8,Louise,71070,Amanda Seyfried,3
188161,13,Foy,41686,Neil Patrick Harris,4
188161,14,Edward,1771,Giovanni Ribisi,5
188161,15,Ruth,7404,Sarah Silverman,6
188161,16,Cochise,15853,Wes Studi,7
188161,17,Lewis,333,Evan Jones,8
188161,18,Young Albert,80378,Preston Bailey,9
188161,19,Dan,60286,Ralph Garman,10
188161,20,Female Passenger,175570,Challen Cates,11
188161,21,Montgomery,19190,Dennis Haskins,12
188161,22,Sheriff,16937,Rex Linn,13
124905,23,Ford Brody,27428,Aaron Taylor-Johnson,0
124905,39,Young Ford,1107800,CJ Adams,1
124905,9,Dr. Ishiro Serizawa,3899,Ken Watanabe,2
124905,12,Joe Brody,17419,Bryan Cranston,3
124905,13,Elle Brody,550843,Elizabeth Olsen,4
124905,40,Sam Brody,1356528,Carson Bolde,5
124905,15,Vivienne Graham,39658,Sally Hawkins,6
124905,14,Sandra Brody,1137,Juliette Binoche,7
124905,16,Admiral William Stenz,11064,David Strathairn,8
124905,41,Captain Russell Hampton,55755,Richard T. Jones,9
124905,17,Tre Morales,59251,Victor Rasuk,10
124905,21,Master Sargeant Marcus Waltz,102742,Patrick Sabongui,11
124905,42,Jump Master,205053,Jared Keeso,12
124905,43,Bomb Tracker,1356538,Luc Roderique,13
124905,44,HALO Jumper,134609,James Pizzinato,14
124905,20,Huddleston,154917,Al Sapienza,15
124905,19,Whelan,28004,Brian Markinson,16
124905,22,Akio's Mother,1278772,Yuki Morita,17
124905,26,Dispatch Officer,198615,Chris Shields,18
102382,3,Spider-Man / Peter Parker,37625,Andrew Garfield,0
102382,2,Gwen Stacy,54693,Emma Stone,1
102382,6,Electro / Max Dillon,134,Jamie Foxx,2
102382,5,Green Goblin / Harry Osborn,122889,Dane DeHaan,3
102382,10,Donald Menken,10132,Colm Feore,4
102382,9,Felicia,72855,Felicity Jones,5
102382,8,Aleksei Sytsevich,13242,Paul Giamatti,6
102382,22,Aunt May,35,Sally Field,7
102382,31,Mary Parker,6368,Embeth Davidtz,8
102382,32,Richard Parker,55152,Campbell Scott,9
102382,27,Dr. Ashley Kafka,20982,Marton Csokas,10
102382,33,Man in Black Suit,163731,Louis Cancelmi,11
102382,34,Young Peter Parker,558928,Max Charles,12
102382,30,Allistar Smythe,1285491,B.J. Novak,13
102382,35,Kari,190895,Sarah Gadon,14
102382,36,Graduation Guest,7624,Stan Lee,15
102382,23,Norman Osborn,2955,Chris Cooper,16
102382,26,Agent Berkley,171886,Frank Deal,17
102382,25,Captain Stacy,5724,Denis Leary,18
102382,7,Uncle Ben,8349,Martin Sheen,19
102382,28,Flash Thompson,231547,Chris Zylka,20
138103,1,Barney Ross,16483,Sylvester Stallone,0
138103,2,Lee Christmas,976,Jason Statham,1
138103,4,Hale Caesar,53256,Terry Crews,2
138103,6,Toll Road,74748,Randy Couture,3
138103,8,Galgo,3131,Antonio Banderas,4
138103,9,Yin Yang,1336,Jet Li,5
138103,10,Doc,10814,Wesley Snipes,6
138103,11,Gunnar Jensen,16644,Dolph Lundgren,7
138103,35,Thorn,83271,Glen Powell,8
138103,12,Conrad Stonebanks,2461,Mel Gibson,9
138103,13,Max Drummer,3,Harrison Ford,10
138103,14,Trench,1100,Arnold Schwarzenegger,11
138103,15,John Smilee,34502,Kellan Lutz,12
138103,16,Bonaparte,7090,Kelsey Grammer,13
138103,17,Vata,2055,Robert Davi,14
138103,18,Luna,997887,Ronda Rousey,15
138103,36,Mars,1347239,Victor Ortiz,16
102651,7,Maleficent,11701,Angelina Jolie,0
102651,6,Princess Aurora,18050,Elle Fanning,1
102651,11,Thistletwit,36594,Juno Temple,2
102651,12,Stefan,82191,Sharlto Copley,3
102651,25,Young Maleficent,1355733,Isobelle Molloy,5
102651,14,Queen Ulla,8436,Miranda Richardson,6
102651,15,Young Prince,1017347,Brenton Thwaites,7
102651,16,Knotgrass,11356,Imelda Staunton,8
102651,17,Diaval,32987,Sam Riley,9
102651,18,King Kinloch,12982,Peter Capaldi,10
102651,19,Shepherd,1833,Jamie Sives,11
102651,20,Flittle,72305,Lesley Manville,12
102651,21,Young Stefan,116606,Toby Regbo,13
102651,22,King Henry,26258,Kenneth Cranham,14
102651,23,Princess Leila,1258225,Hannah New,15
102651,24,Teen Maleficent,989325,Ella Purnell,16
157350,3,Beatrice Prior / Tris,94185,Shailene Woodley,0
157350,9,Peter,996701,Miles Teller,1
157350,7,"Tobias ""Four"" Eaton",587020,Theo James,2
157350,11,Jeanine Matthews,204,Kate Winslet,3
157350,8,Marcus Eaton,56614,Ray Stevenson,4
157350,4,Tori,21045,Maggie Q,5
157350,5,Christina,37153,Zoë Kravitz,6
157350,6,Caleb Prior,1159982,Ansel Elgort,7
157350,10,Eric,224181,Jai Courtney,8
157350,12,Natalie Prior,15852,Ashley Judd,9
157350,13,Andrew Prior,3417,Tony Goldwyn,10
157350,15,Max,327,Mekhi Phifer,12
157350,16,Will,1173230,Ben Lloyd-Hughes,13
157350,17,Al,56195,Ole Christian Madsen,14
157350,18,Edward,1173231,Ben Lamb,15
157350,20,Dauntless,1329572,Brandon Cyrus,16
157350,24,Molly,1352383,Amy Newbold,17
137113,12,"Maj. William ""Bill"" Cage",500,Tom Cruise,0
137113,27,Sgt. Rita Vrataski,5081,Emily Blunt,1
137113,26,General Brigham,2039,Brendan Gleeson,2
137113,13,Msg. Farell,2053,Bill Paxton,3
137113,16,Skinner,119224,Jonas Armstrong,4
137113,18,Kimmel,147255,Tony Way,5
137113,17,Griff,93111,Kick Gurry,6
137113,30,Ford,1363086,Franz Drameh,7
137113,19,Kuntz,125740,Dragomir Mrsic,8
137113,14,Nance,115679,Charlotte Riley,9
137113,31,Takeda,1095404,Masayoshi Haneda,10
137113,28,Cruel Sergeant,67205,Terence Maynard,11
137113,25,Dr. Carter,1284,Noah Taylor,12
137113,15,Russian Soldier,531772,Lee Asquith-Coe,13
137113,29,Karen Lord,213083,Lara Pulver,14
137113,22,Julie,1258664,Madeleine Mantock,15
137113,24,Dr. Whittle,17352,Marianne Jean-Baptiste,16
137113,21,Col. Walter Marx,12799,Jeremy Piven,17
195589,1,Mac Radner,19274,Seth Rogen,0
195589,3,Teddy Sanders,29222,Zac Efron,1
195589,2,Kelly Radner,9827,Rose Byrne,2
195589,4,Pete,54697,Dave Franco,3
195589,5,Scoonie,54691,Christopher Mintz-Plasse,4
195589,10,Sebastian Cremmington,543505,Jake M. Johnson,5
195589,9,Carol Gladstone,14406,Lisa Kudrow,6
195589,11,Paula,54708,Carla Gallo,7
195589,12,Alecia,1158832,Chasty Ballesteros,9
195589,20,Brooke,934243,Halston Sage,10
195589,18,Sorority Girl,1203537,Cassandra Starr,11
195589,15,Assjuice,104561,Craig Roberts,13
195589,21,Officer Watkins,500427,Hannibal Buress,14
195589,16,Dr. Theodorakis,111683,Jason Mantzoukas,15
195589,14,Jimmy,198150,Ike Barinholtz,16
195589,40,Whitney,496731,Ali Cobrin,17
82702,13,Hiccup (voice),449,Jay Baruchel,0
82702,10,Stoick the Vast (voice),17276,Gerard Butler,1
82702,11,Ruffnut (voice),41091,Kristen Wiig,2
82702,12,Snotlout (voice),21007,Jonah Hill,3
82702,20,Valka (voice),112,Cate Blanchett,4
82702,21,Drago Bludvist (voice),938,Djimon Hounsou,5
82702,22,"Eret, Son of Eret (voice)",239019,Kit Harington,6
82702,14,Fishlegs (voice),54691,Christopher Mintz-Plasse,7
82702,15,Tuffnut (voice),51990,T. J. Miller,8
82702,16,Astrid (voice),59174,America Ferrera,9
82702,17,Gobber (voice),24264,Craig Ferguson,10
109445,5,Anna (voice),40462,Kristen Bell,0
109445,6,Elsa (voice),19394,Idina Menzel,1
109445,7,Kristoff (voice),221611,Jonathan Groff,2
109445,8,Olaf (voice),54415,Josh Gad,3
109445,13,Hans (voice),1188241,Santino Fontana,4
109445,10,Duke (voice),21088,Alan Tudyk,5
109445,21,Pabbie / Grandpa (voice),8785,Ciarán Hinds,6
109445,14,Oaken (voice),70238,Chris Williams,7
109445,24,Kai (voice) (as Stephen John Anderson),16842,Stephen J. Anderson,8
109445,26,Bulda (voice),1297610,Maia Wilson,9
109445,25,Gerda (voice),3202,Edie McClurg,10
109445,22,Bishop (voice),74573,Robert Pine,11
109445,23,King (voice),34521,Maurice LaMarche,12
109445,12,Young Anna (voice),1207489,Livvy Stubenrauch,13
109445,11,Young Elsa (voice),1207488,Eva Bella,14
109445,31,Teen Elsa (voice),1340660,Spencer Ganus,15
109445,32,Spanish Dignitary (voice),1340661,Jesse Corti,16
109445,33,German Dignitary (voice),1340662,Jeffrey Marcus,17
109445,34,Irish Dignitary (voice),1340663,Tucker Gilmore,18
109445,35,Additional Voices (voice),1340664,Ava Acres,19
